,artist_name,song_name
80,Ini Kamoze,Here Comes The Hotstepper
81,Apurimac,El cuarto de Tula
82,JX,Son Of A Gun (Radio Edit)
83,Danny & The Juniors,At the Hop
84,Mickey Gilley,True Love Ways
85,The Radio Dept.,Closing Scene
86,The Disco Brothers ft. Andrea Britton,Inner Sense
87,A.C.T,Concluding Speech
88,Victor Perez_ Tony Martinez,Carnaval
89,Simon & Garfunkel,Keep The Customer Satisfied
90,Doris Duke,Your Best Friend
91,Chantels,Every Night (I Pray)
92,Jeff Beck,A Day In The Life (Album Version)
93,Taboo,Sous la Tour Eiffel
94,Seru Giran,Nos Veremos Otra Vez
95,Mariah Carey,Vision Of Love
96,Studio Allstars,Happy Christmas (War Is Over) (Originally Performed By John Lennon)
97,Frozen Plasma,Irony
98,Heidi Montag,Body Language
99,Naughty By Nature;Naughty By Nature featuring Zhane,Jamboree
100,Annette,Images Of You
101,Klaas,Our Own Way
102,Itzhak Perlman/Samuel Sanders,Chansons sans paroles (2006 Digital Remaster)
103,Jewel,Serve The Ego (Hani Num Dub)
104,Lady GaGa,Bad Romance
105,Enigma,Sadeness - Part I (Extended Trance Mix)
106,Los Rodriguez,Mi Enfermedad
107,El Alquimista Loco,Nubosidad Variable
108,Le Vita feat. Fab,Apologize
109,SoundLift,Follow The Way
110,La Ley,Fuera de mi
111,Hanson,Man From Milwaukee
112,Christina Aguilera,Walk Away
113,Tammy Wynette,Stand By Your Man
114,Matia Bazar,Ti Sento
115,ABC,Blame
116,Infected Mushroom,Song Pong
117,America,Only In Your Heart (Album Version) (2006 Remastered)
118,Tom Petty And The Heartbreakers,Mary Jane's Last Dance
119,Collective Soul,Compliment (LP Version)
120,Lady GaGa,LoveGame
121,Tom Petty & The Heartbreakers with Jeff Lynne & Dhani Harrison,Handle With Care (LP Version)
122,World Of Twist,She's A Rainbow
123,Gregory Miller,Maurice Ravel: Pavane pour une Infante défunte: Pavane pour une Infante défunte
124,Seven Places,Stay With Me
125,Bobby Bare,Help Me Make It Through the Night
126,Siw Malmkvist,Ingenting går upp mot gamla skåne
127,Assemblage 23,Sorry
128,Peter Gabriel,Steam (2002 Digital Remaster)
129,Wayne Marshall,3 Preludes: No. 2 in C sharp minor
130,Everyday Sunday,Don't Leave
131,Hacken Lee,He Jiu Bi Hun
132,Norah Jones,Thinking About You (Live)
133,Agnetha Fältskog,The Queen Of Hearts
134,Barry Blue,Dancin' On A Saturday Night
135,Willie Nelson,Living In The Promiseland
136,Sade,Smooth Operator
137,Gino Paoli,E M'Innamorerai
138,CC Cowboys,Litt av ditt hjerte
139,Luiz Melodia,Juventude Transviada
140,Tommy James & The Shondells,Crimson And Clover
141,Sviatoslav Richter (piano),F.Chopin: Prelude_ Op.28. ?4 (E minor)
142,Johnny Cash,Highwayman
143,Britney Spears,Don't Go Knockin' On My Door
144,Celeda,Amazing (Tracy Young Dub Mix)
145,Los Abuelos De La Nada,Lunes Por La Madrugada
146,Laid Back,Maybe I'm Crazy (Single original version_ 2008 Digital Remaster)
147,Novaspace,Guardian Angel
148,Fabio XB,Inside Of You
149,Carlos Ponce,Escuchame
150,Frederik,Dornröschen war ein schönes Kind - Karaoke
151,Mahogany Rush,"(Excerpt From ""Who Do Ya Love"")"
152,Quim Barreiros,O meu martelo
153,Muse,City Of Delusion
154,Ben Watt feat. Estelle,Pop A Cap In Yo' Ass
155,Preluders,Last Christmas
156,Kidz Bop Kids,Sugar Sugar
157,Rihanna,Don't Stop The Music
158,Phil Chang,O Chan Tsai Wu Ding Chui Feng
159,Top Of The Poppers,Money Money Money
160,America,I Need You
161,The Planets,Stai Con Me
162,Céline Dion,The Reason I Go On
163,Rachael Yamagata,Over And Over (Album Version)
164,Janus,Winner Takes It All
165,Ed Case;Ms. Dynamite,Deal With The Matter
166,Alain Souchon,J'veux Du Cuir (Live)
167,Los Ángeles,Mañana_ Mañana
168,Moonbeam,Tiger (Roland M. Dill Got him by the Tail Rmx)
169,Mike Marshall & Chris Thile,J.S. Bach: The Goldberg Variations
170,Samuele Bersani,Lolita
171,Spice Girls,Never Give Up On The Good Times
172,Raf,Siamo Soli Nell'immenso vuoto Che C'è
173,Janusz Olejniczak,Waltz in A minor_ Op. 34_ No. 2
174,Shadow Gallery,Time
175,The Beatles Revival Band,Yesterday (Live)
176,Rick Treviño,Bobbie Ann Mason
177,Oliver Lukas,So Frech Wie Du Ist Keine
178,Cool For August,Don't Wanna Be Here (Album Version)
179,TV Soundtrack Orchestra,Mercy
180,Queensryche,Lady Jane
181,Silverchair,Suicidal Dream
182,Moodlex,I Left My Head Somewhere ...
183,Thelma Houston,Don't Leave Me This Way
184,Bread,Make It With You
185,The Cardigans,Lovefool
186,The Rolling Stones,Lady Jane
187,Ike & Tina Turner,Nutbush City Limits
188,Wax,Lonely Boy
189,Tanya Tomkins and Eric Zivian,11 Bagatelles for Solo Fortepiano op. 119 no. 3
190,Isa di Marzio,La Bella E La Bestia
191,Erasure,Star (2009 Digital Remaster)
192,Bryan Adams,Let's Make A Night To Remember
193,Vanessa-Mae,Toccata And Fugue In D Minor (Live Version)
194,Fergie,Big Girls Don't Cry (Personal)
195,Muse,Stockholm Syndrome
196,Little Eva,The Loco-Motion
197,The Killers,Show You How
198,England Dan & John Ford Coley,Love Is The Answer (LP Version)
199,Klaus Doldinger,Artax' Tod
200,David Bowie,Space Oddity (1997 Digital Remaster)
201,Noel Sanger,What Are You Looking For? (Original Vocal Mix)
202,Leon Russell,Jambalaya (On The Bayou)
203,Ferry Tayle,Duo
204,Milan Lieskovsky,Formal Resistance
205,Love Of Lesbian,Segundo asalto
206,Choir & Great Symphony Orchestra of the All-Union Radio_ N. Shpiller_ S. Krassovsky_ V. Gagarina & N,Requiem Mass_ K. 626_ 1791: Agnus Dei (Larghetto) (Mozart)
207,Big Maceo Merriweather,Chicago Breakdown
208,Céline Dion,Un Garcon Pas Comme Les Autres (Ziggy)
209,Atomic Kitten,Someone Like Me (Minus Blue Mix)
210,Dwight Yoakam,You're The One
211,Alex Britti,Sola Una Volta
212,Richard Dobson & State Of The Heart,Old Man Collecting Cans
213,Michael Jackson,Man In The Mirror
214,The Dave Brubeck Quartet,Blue Rondo A La Turk
215,Candy Dulfer,Lily Was Here
216,Taylor Swift,Fearless
217,Lange Presents Firewall,Sincere
218,Randy Travis,On The Other Hand (Remastered Album Version)
219,Mood II Swing,Can't Get Away From You
220,Orchestral Manoeuvres In The Dark,Electricity (Hannett/Cargo Studios Version) (2003 Digital Remaster)
221,Aerosmith,Angel
222,Eminem / Dido,Stan
223,Syreeta,With you I'm born again
224,Ara Ketu,Pout-Pourri: Romântico
225,David Allan Coe,You Never Even Called Me By My Name
226,Luis Miguel,"Suena (""Some Day"" end title song ""The Hunchback of Notre Dame"")"
227,Paula Koivuniemi,Tää Hetki Hiljainen
228,Jim Cuddy,Trouble
229,Andrea Bocelli / Giorgia,Vivo Per Lei
230,Right Said Fred,Stick It Out (Aerobic Mix)
231,Abstract Vision,Evening Sun
232,Panpipes,Knowing Me Knowing You
233,DJ Eco,Borealis
234,Se:Sa Featuring Sharon Phillips,Like This Like That (The Count Of Monte Cristal & Sinden Remix) (Feat. Sharon Phillips)
235,Crazy Horse,E se tu lontana sei
236,Okay,My
237,Andy Abraham,When I Fall In Love
238,Mariano Yanani,Air_ Siote No. 3 (J.S. Bach)
239,Daniel Powter,Bad Day
240,Laura Branigan,How Am I Supposed To Live Without You  (LP Version)
241,The Champs,Tequila (Original)
242,Leroy Anderson,Serenata
243,Café Tacvba,Puntos Cardinales
244,LU-LU,Hula Hoop Dance
245,Meg & Dia,No Rain [Live]
246,Limahl,"Never Ending Story (12"" Mix)"
247,Erik Berglund,All I Ask Of You
248,Havana Funk,Wawa Mix
249,Cream,White Room (Live Album Version)
250,Neil Young,Four Strong Winds (Album Version)
251,Shudder To Think,Day Ditty
252,Vermeer Quartet,Beethoven : String Quartet No.16 in F major Op.135 : I Allegretto
253,Seal,Prayer For The Dying (Album Version)
254,Marc Marzenit,Expiritualized
255,Mons Leidvin Takle,Blott En Dag
256,Lenny Kravitz,Lady (radio edit)
257,Dino Meira,Negro Destino
258,Toto,Hold The Line
259,Quentin Harris feat. Margaret Grace,My Joy (Harry Choo Choo Romero Remix)
260,Tocadisco,Morumbi
261,Mari Trini,Déjame
262,The Les Humphries Singers,Mexico
263,Genesis,Man On The Corner (Live) (2000 Digital Remaster)
264,H-Blockx,Get Out Of The Ring
265,Knee Deep,Can We Really Do This?
266,Green Day,Know Your Enemy [Live]
267,Spagna,Gente Come Noi
268,Axel Fischer feat. Cora,Amsterdam
269,Bram Vermeulen,Het Is Alleen (Album Version)
270,The Mad Capsule Markets, -start ID-
271,Nelly / King Jacob,On The Grind
272,Meg & Dia,Setting Up Sunday (Album Version)
273,Metallica,Fade To Black
274,Dive,Contact
275,Mulberry Lane,Come Dance With Me
276,The New Cars,Just What I Needed
277,Vikingarna,Ge mig vingar som bär mig (T'amo Amor Mio)
278,Eminem,The Way I Am
279,Tracy Huang,Xiang Se (Mandarin)
280,Janus,Super Trooper
281,Wang Chung,Dance Hall Days
282,Pallas,Throwing Stones At The Wind
283,Mickey Gilley,True Love Ways
284,Moodorama,Beatzekatze Part II
285,Dinu Lipatti_ Orchestre de la Suisse Romande_ Ernest Ansermet,Piano Sonata No. 8 In A Minor KV 310 - II. Andante Cantabile Con Espessione (Bach)
286,Spahn Ranch,In the Aftermath (Astralasia mix)
287,John Denver,Calypso
288,Bangbros,Du Willst Immer Nur F...
289,Christian Quast,You Are!
290,London Mozart Players/Jane Glover,Serenade No. 13 in G 'Eine kleine Nachtmusik' K525: I.   Allegro
291,Paul Nazca,Ecume
292,Eurythmics,Missionary Man
293,Shakira,Suerte (Whenever_ Wherever)
294,James Blunt,Billy (Live In Ireland)
295,Willie Nelson,Forgiven You Was Easy
296,Tesla,Signs
297,New Radicals,You Get What You Give
298,George Michael,Praying For Time
299,Maná,En el muelle de San Blas
300,Branco,Centro Di Gravità Permanente
301,Ram Jam,Black Betty
302,Restless Heart,That Rock Won't Roll
303,Jarvis Church,So Beautiful
304,Donna Summer,Love To Love You Baby
305,Mongo Santamaria,Lady Marmalade
306,The London Pops Orchestra,The Way We Were
307,The Police,Wrapped Around Your Finger
308,883,Come deve andare
309,Scott Joplin,Wall Street Rag
310,Michael Martin Murphey,Waltz Medley: O Christmas Tree (O Tannenbaum)/Put Your Little Foot (The Varsouvianna) The Westfalia Waltz/Over The Waves (Album Version)
311,Pam Tillis,When You Walk In The Room
312,The Donkeys,Dolphin Center
313,Simple Plan,Your Love Is A Lie (Single Version)
314,Michelle McManus,The Meaning Of Love
315,Marco Carta,A Chi ( Hurt )
316,Heavens to Betsy,axemen
317,Nicolette Larson,Lotta Love
318,Mikhail Pletnev,Nocturnes: No. 13 in C minor Op. 48 No. 1
319,Ali Kuru,Taksim Dub
320,Studio Sound Group,I Still Haven't Found What I'm Looking For
321,Staggered Crossing,When the Rain's All Gone
322,Liverpool Band,Hey Jude (Alternate Mix)
323,Charlie Byrd / Laurindo Almeida,Choro II
324,yoomiii,Saturday Night
325,Cristy Lane,Making Up For Lost Time (Footprints In The Sand Album Version)
326,Duran Duran,The Reflex (7'' Version)
327,Antonio Vivaldi,L'été : Adagio
328,Toy-Box,Tarzan & Jane (Single Version)
329,Idolee,You're Still The One
330,Kid Crème featuring Shawnee Taylor,Austin's Groove [Let Me Live] [Austin's Groove Main Mix]
331,Christian Smith,Higienopolis
332,The Skygreen Leopards,Silvery Branches
333,Sergio Denis,Cómo Estás_ Querida
334,Taylor Swift,White Horse
335,Visage,Fade To Grey
336,RICKY LYNN GREGG,Silver Wings
337,The Polyphonic Spree,Happy Xmas (War Is Over)
338,Avril Lavigne,How Does It Feel
339,Jean-Yves Thibaudet / Gewandhausorchester Leipzig / Herbert Blomstedt,1. Molto allegro con fuoco
340,Little Milton,My Way
341,Yuridia,Regresa A Mi (Unbreak My Heart)
342,State Of The Heart,Somewhere Out There
343,Perplexer,Acid Folk (Low Speed)
344,Liv Glaser,Sonatina Op. 36 No. 4 In F Major_ Allegro Vivace
345,C-Murder/Dez,Street Keep Callin' (feat. Dez)
346,Sarah Connor,Where Did U Sleep Last Nite?
347,Will Hoge,What Could I Do
348,YDI,Friends (Demo)
349,Sergio Dalma,La Marca De Tus Labios
350,"Dave ""Baby"" Cortez",The Happy Organ
351,Janis Ian,Jesse
352,Jamie Richards,Easier By Now
353,Neeme Jarvi,Hary Janos Suite : VI. A csaszari udvar bevonulasa (Entrance of the Emperor and his Court)
354,Sam & Dave,You Send Me
355,Elzyo Silver,In The Ghetto
356,Black Eyed Peas,Let's Get It Started
357,Antonin Dvorak,Slavonic Dance No 4 in F major
358,Dash Berlin,Janeiro
359,Real Life,Send Me An Angel (2009 Version)
360,Haloo Helsinki!,Valherakkaus
361,Kansas,Taking In The View
362,Bebo Norman,Borrow Mine
363,André Hazes,Dat Ene Moment
364,Pablo Casals,Cello Suite  No.1 in G BWV1007: Gigue
365,Roxette,Crash! Boom! Bang! (Radio Edit)
366,Ágata,Conselho de mãe
367,Edith Piaf,Sous Le Ciel De Paris
368,Higher Ground,Always
369,Jim Nabors,A Very Special Love Song
370,Nancy Wilson,(You Don't Know) How Glad I Am (2001 Digital Remaster)
371,Sunrise,Tell Me Why
372,Soft Cell,Tainted Love
373,Chloe Agnew,The Prayer
374,Lacuna Coil,Heaven's A Lie
375,Willie Clayton,Unconditionally (Soul and R&B)
376,Kate Ceberano,Love Dont Live Here Anymore
377,Puff Daddy featuring Jay-Z,Do You Like It...Doo You Want It... (Album Version)
378,Steely Dan,Doctor Wu
379,Bracken,Prelude_ Opus 28_ No. 4 - Chopin
380,Leroy Anderson,Sleigh Ride
381,Marisela,Un Amor En El Olvido
382,Arthur & Yu,Black Bear
383,Münchener Freiheit,Solang man Träume noch leben kann
384,CMX,Ei Koskaan
385,Westlife,World Of Our Own
386,Boyzone,Love Is A Hurricane
387,The Fabulous Thunderbirds,Rainin' In My Heart
388,Masterboy,Feel The Heat 2000
389,Nomadi,Io Vagabondo (Che Non Sono Altro ) Live
390,Alucidnation,Induce/The Secret Title
391,Squeeze,Tempted
392,Dennis Edwards / Siedah Garrett,Don't Look Any Further
393,Michael Jackson,Black Or White
394,The Ocean Blue,Emotions Ring (Album Version)
395,Academy of St Martin-in-the-Fields/Sir Neville Marriner,Symphony No. 40 in G minor K550: I.       Molto allegro
396,I Love Math,Better Days (Reprise)
397,A Perfect Circle,Passive (Explicit Version)
398,F.R. David,Words
399,The Jeremy Spencer Band,Travellin' (Album Version)
400,Showaddywaddy,Hey England (Here We Come Berlin!)
401,Michelle McManus,All This Time
402,Buddy Holly,Peggy Sue
403,Ole Erling,Last Christmas
404,Ophelia Ragtime Orchestra,The Rag Time Dance
405,Razzia,Eisbär
406,Redstar,Players With Soul
407,Enya,Boadicea (Remastered 2009)
408,Raffaella Carrà,Tuca Tuca
409,The Session,War of the Worlds
410,The Ineffable Orchestra / Irmin Hütter,Enjoy The Silence
411,Dark Sanctuary,Puisses-Tu &&
412,Toby Keith,Who's Your Daddy?
413,Orchestral Manoeuvres In The Dark,She's Leaving (2003 Digital Remaster)
414,Jean-Louis Aubert,Glissons
415,Adele,Daydreamer (Live At Hotel Cafe)
416,Bobby,So Many Scars [extended Dynamikk Version]
417,Andrei Gavrilov,5 Morceaux de fantaisie Op. 3: No. 1_ Elégie in E flat minor
418,Ayo,Life Is Real
419,Red Hot Chili Peppers,Snow [Hey Oh] [Live Version]
420,Floorfilla,Anthem #2
421,Neil Norman And His Cosmic Orchestra,Predator
422,Gabriella Cilmi,Sanctuary
423,LU,Maldita Estupidez
424,Rubyhorse,The  First Of The Year
425,Mariah Carey,Love Takes Time
426,Billy Idol,Rebel Yell (1999 Digital Remaster)
427,Panpipes,Close To You
428,Julius Katchen,2. in E
429,Milk Inc.,Livin' A Lie (Video Mix)
430,Dolce; Orange Factory,Fire (Orange Factory Dub)
431,Danzig,Mother 93
432,Mark Medlock,Mr. Love
433,Bic Runga,Listen
434,Three 6 Mafia Three 6 Mafia feat. Lil' Flip,Don't Cha Get Mad
435,Shamanic Tribes On Acid,Sunrise Over Dopesville
436,Darius & Finlay feat. Nicco,Rock To The Beat
437,M.A.N.D.Y. vs. Booka Shade feat. Laurie Anderson,O Superman
438,The Corrs,All I Have To Do Is Dream feat. Laurent Voulzy
439,Real Life,Send Me An Angel (12 Remix)
440,Dr. Alban,Sing Hallelujah!
441,Marc Korn,Feel Free (Original club Mix)
442,Dan Hartman,Instant Replay
443,Enya,La Sonadora
444,Beenie Man Featuring Janet Jackson,Feel It Boy (Deep Dish Danchall Remix) (Feat. Janet Jackson)
445,Katie Melua,The Closest Thing To Crazy
446,Tori Amos,Happy Phantom (LP Version)
447,Marco V ft. Jonathan Mendelsohn,Coming Back
448,TIMO TOLKKI,Hymn To Life
449,We Are Terrorists,Ground Zero
450,Neal Schon,My Heart Will Go On
451,Joshua Rifkin,Fig Leaf Rag  (LP Version)
452,Laura Fygi,Dream A Little Dream
453,Gary Smith,I Will Always Love You
454,Thomas Coastline,Love Victims
455,David Bowie,Life On Mars? (1997 Digital Remaster)
456,The Cars,Drive
457,Van Halen,Can't Stop Lovin' You (Remastered Album Version)
458,Neil Young with The Stray Gators,"Words [Between The Lines Of Age] [From The Original Soundtrack Album ""Journey Through The Past""]"
459,Nocturnal Rites,Change The World
460,Styles / Breeze,Heartbeatz
461,Bobby Taylor and The Vancouvers,Reach Out I'll Be There
462,Marc Et Claude,La (Moonman's Flashover Mix Edit)
463,Space Cat,Bit Cruncher
464,Biquini Cavadão,Impossivel
465,Ace Cannon / Al Hirt,Rhinestone Cowboy
466,Frank Sinatra,I'm Glad There Is You
467,Billy Joel,Goodnight Saigon
468,Bob Rivers,Getting Fatter All The Time (LP Version)
469,Etron Fou Leloublan,Introduction
470,Redsky Featuring Lisa Law,Takin' over you (Carl Ryden remix)
471,Jamiroquai,Love Foolosophy
472,Danny Howells,In Black
473,Morten Gunnar Larsen,Wolverine Blues
474,Bee Gees,Run To Me
475,Regina Belle,A Whole New World (Aladdin's Theme)
476,Lexter,Freedom To Love (Chriss Ortega & Thomas Gold Remix)
477,Mary Jane Girls,All Night Long
478,Horkyze Slyze,Liza a Wendy
479,The Moody Blues,The Story In Your Eyes
480,matchbox twenty,Bent (Remastered Version)
481,The Sun Harbor's Chorus-Documentary Recordings,Navy hymn
482,Regurgitate,Skull of Shit and Sludge
483,Héroes del Silencio,Entre Dos Tierras (2000 Digital Remaster)
484,Michael Sembello,Maniac
485,Zámbó Jimmy,Más lettem én
486,The Fortunes,Freedom Comes_ Freedom Goes
487,The Cate Brothers,Let It Be
488,Kidz Bop Kids,Are You Happy Now?
489,Klaatu,"A Routine Day (1979 7"" Mix)"
490,The Human League,Human
491,Ashlee Simpson,Pieces Of Me
492,Sammi Cheng,Sa La Re Wo Di Luo Mi Qu Yu Zhu Li Ye
493,Tina Rainford,Kommst du wirklich mit diesem Schiff
494,Further Seems Forever,Bye_ Bye_ Bye
495,Carlos Bonell,Tarrega: Capricho Arabe
496,Cheap Trick,Southern Girls
497,Lenny LeBlanc,All My Dreams
498,Kisha,Why?
499,Gary Smith,O Holy Night
500,Tokio Hotel,Durch den Monsun
501,Brooks & Dunn,Why Would I Say Goodbye
502,The Hollies,Stop Stop Stop (Live) (2003 Digital Remaster)
503,Césaria Evora,Salamansa
504,Kansas,Miracles Out Of Nowhere
505,Sound 5,Ala Kaboo (Idjut Boy's H-Bar Mix)
506,Michael Allen Harrison,What Child Is This
507,I Nomadi,Se Que Me Perdonaras (1995 Digital Remaster)
508,Futureheads,With Every Heartbeat
509,Melissa Etheridge,Your Little Secret
510,Duran Duran,Save A Prayer (Single Version)
511,Capleton,Pain
512,Infected Mushroom featuring Perry Farrell,Killing Time
513,Jennifer Warnes,Right Time Of The Night
514,SONATA ARCTICA,UnOpened
515,MFSB,My One And Only Love
516,Phil Collins,You Can't Hurry Love  (LP Version)
517,Apocalyptica,Somewhere Around Nothing
518,Eddie Sender,Scarabeus
519,Richard Burton,Camelot
520,Janet Jackson,When I Think Of You
521,Bellamy Brothers,Let Your Love Flow
522,Neva Dinova,Instrumental 2
523,Robbie Rivera,Float Away
524,Wim Soutaer,Wat Ik Zeggen Wil
525,Alphaville,Danger in your Paradise (Demo)
526,Mark Wills,That's A Woman
527,Yellowjackets,Homecoming
528,John Williams,Bach Suite No. 1 In G Major (Gigue)
529,Roxette,Anyone (Tits & Ass Demo_ July 29_ 1998)
530,N-Dubz,I Don't Wanna Go To Sleep
531,Marc Lavoine,C'est La Vie
532,Carl Doy,Wave
533,Ivan Moravec,G minor_ op. 15_ n? 3
534,Danny & The Juniors,At The Hop
535,Showaddywaddy,Crazy Little Thing Called Love
536,Los Humildes,A Que Me Quedo Contigo
537,Miklos Rozsa,'Pathétique' Sonata (Op. 13 - II: Adagio Cantabile)
538,Pantera,Planet Caravan (Remastered LP Version)
539,The London Pops Orchestra,Moon River
540,Herman Brood & His Wild Romance,I Hate Myself
541,Snow Patrol,Just Say Yes
542,Lonestar,Amie
543,Sugarfree,Splendida
544,Max Morath,Silver Swan
545,Daryle Singletary,That's What I Get For Thinkin' (Album Version)
546,Sheryl Crow,All I Wanna Do
547,Grandpa Jones,Falling Leaves
548,Céline Dion,Think Twice
549,Dolly Parton duet with Ricky Van Shelton,Rockin' Years
550,Jennifer Lopez,Play
551,Elvis Presley,I Got a Woman
552,Jean Michel Jarre,Equinoxe_ Pt. 5
553,David Arkenstone,Over The Rainbow
554,Dido,White Flag
555,Anita Ward,Ring My Bell
556,O-Zone,Dragostea din tin (ma-ya-hi)
557,Brotherhood Of Man,California Sunday Morning
558,Gloria Gaynor,Broken Wings
559,Four Tops,I Can't Help Myself (Sugar Pie_ Honey Bunch)
560,The Northern Pikes,Kiss Me You Fool
561,Bjørn Svin,Kan & Vil
562,Engelbert Humperdinck,(Sittin' On) The Dock Of The Bay
563,Skeeter Davis,My Last Date (With You)
564,Ferry Corsten,Gabriella's Sky
565,Hank Thompson,The Wild Side Of Life
566,Taio Cruz,Break Your Heart
567,Pignoise,Perdido En La Oscuridad
568,Emmylou Harris,Feelin' Single - Seein' Double  (Remastered LP Version)
569,The Choirboys,Hark! The Herald Angels Sing
570,Freeland,Mancry
571,Usher,I Need Love
572,No Mercy,Please Don't Go
573,Madonna,Holiday
574,Modern Talking,Geronimo's Cadillac
575,Mama's Jasje,Reis Door Niemandsland
576,Andrea Bocelli / Vladimir Fedoseyev / Moscow Radio Symphony Orchestra / Victor Popov / Academy Of Choir Art Of Russia,Turandot: Nessun Dorma (Act 3)
577,The Statler Brothers,White Christmas
578,SUN KIDZ feat. SANDRA,Summer is calling
579,Carlene Carter,Spider Lace
580,Engenheiros Do Hawaii,Somos Quem Podemos Ser
581,The Goo Goo Dolls,Name [New Version]
582,UCast,Metro
583,Leo Sayer,Have You Ever Been In Love (Remastered LP Version)
584,Ace of Base,Happy Nation
585,Céline Dion,"Because You Loved Me (Theme from ""Up Close and Personal"")"
586,Danny Davis & The Boys,The Golden Sea
587,Enya,Lothlórien
588,Britney Spears,(You Drive Me) Crazy
589,Player,Baby Come Back
590,Jon Secada,Too Late_ Too Soon
591,Big Daddy Weave,Glory [Compilation Version]
592,Abba,Dancing Queen
593,Avalon,Jesus Born On This Day (Joy Album Version)
594,Frankie Avalon,Venus
595,Doug Sahm,Sometimes (LP Version)
596,James Taylor,Everyday
597,Ground Floor,Settle Down!
598,Carlene Carter,World Of Miracles (Album Version)
599,Parni Valjak,Dok je tebe
600,Flanders,By My Side
601,Sarah Connor,French Kissing
602,New Order,Sub-culture
603,Fanny Grace,Santa Monica
604,Jamiroquai,Love Foolosophy
605,Max Morath,Elite Syncopations
606,Vikingarna,Viking Boogie
607,The Lettermen,Put Your Head On My Shoulder
608,Liah,Tarde Negra (Sere Nere)
609,LITTLE TEXAS,Kick A Little (Album Version)
610,Sniff 'n' The Tears,Driver's Seat
611,Third Day,Love Heals Your Heart
612,Erik Berglund,Ave Maria
613,The Hit Factory,Explode (Instrumental)
614,Michelle Weeks,A Purpose
615,Garbage,Queer (Re-mastered 2007)
616,Neil Diamond,Hello Again
